1	2	3	4					
905	0.72	0.54	-40.2	!	Asphalt (winter) - check these values?	Anandakumar (1998) 		
906	0.83	-0.83	-24.6	!	Asphalt (summer) - check these values?	Anandakumar (1998) 		
904	0.805	-0.193	-9.39	!	An99 weighted average (all year) - calculated by HCW			
907	0.767	0.452	-34.76	!	An99 Apr-Sep weighted average (summer) - calculated by HCW			
908	0.843	-0.838	15.98	!	An99 Oct-Mar weighted average (winter) -  calculated by HCW			
909	0.67	0.493	-47.97	!	An99 August average - calculated by HCW			
910	0.718	0.532	-40.81	!	An99 JJA average - calculated by HCW			
850	0.665	0.243	-42.825	!	"Impervious (average) excluding all An99 values, i.e. average of Codes 801, 802, 901, 902."			
851	0.676	0.300	-42.42	!	"NEW Impervious (average). This is the average of Codes 801, 802, 901, 902, 910."	Ward et al. (2015)		
8511	0.722	0.255	-36.14	!	Code 851 x Multiplier for summer			
8512	0.848	-0.402	14.16	!	Code 851 x Multiplier for winter			
-9								
-9								
								
								
!	1	Code	Code for storage heat flux estimation using OHM					"Links to OHM_Code_ columns in SUEWS_NonVeg, SUEWS_Veg, SUEWS_Water, SUEWS_Snow"
!	2	a1	Coefficient for Q* term			[-]		
!	3	a2	Coefficient for dQ*/dt term			[h]		
!	4	a3	Constant			[W m-2]		
								
	1.0683	0.8492	0.8519	!	Mutlipliers for coefficients for summertime (from An99 AMJJAS averages relative to JJA average)			
	1.1744	-1.5755	-0.3917	!	Multipliers for coefficients for wintertime (from An99 ONDJFM averages relative to JJA average)			
								
	1.1441	0.9152	0.7246	!	Mutlipliers for coefficients for summertime (from An99 AMJJAS averages relative to August average)			
	1.2577	-1.6979	-0.3332	!	Multipliers for coefficients for wintertime (from An99 ONDJFM averages relative to August average)			
